name,price,capacity_w,capacity_va
APC SURT20KRMXLT,22186.17,16000.0,20000.0
CyberPower CP1500PFCLCD,219.95,1000.0,1500.0
APC SRT10KXLI,,10000.0,10000.0
CyberPower CP1500AVRLCD,184.95,900.0,1500.0
APC Back-UPS 1500,179.99,900.0,1500.0
CyberPower PR3000LCDSL,1173.95,2700.0,3000.0
APC SRT10KRMXLI,14500.0,10000.0,10000.0
CyberPower CP1000PFCLCD,164.95,600.0,1000.0
APC SRT10KXLT,8333.29,10000.0,10000.0
APC SMT2200I,1042.46,1980.0,2200.0
APC Back-UPS Pro 1500S,271.25,900.0,1500.0
CyberPower CP1500AVRLCD3,189.95,900.0,1500.0
CyberPower ST425,53.95,260.0,425.0
APC Back-UPS Pro 1500VA for Gaming,275.0,900.0,1500.0
CyberPower PR2200LCDSL,855.95,1980.0,2070.0
APC SRT10KRMXLT,5449.99,10000.0,10000.0
CyberPower EC850LCD,102.95,510.0,850.0
Tripp Lite SMX1500LCDT,281.45,900.0,1500.0
CyberPower PR1500LCD,545.95,1050.0,1500.0
CyberPower AVRG750U,109.95,450.0,750.0
APC Back-UPS Pro 700VA,146.99,420.0,700.0
APC Back-UPS Pro 1500,247.0,865.0,1500.0
APC Back-UPS Pro 1500VA,214.99,900.0,1500.0
CyberPower OR2200LCDRTXL2U,822.95,1650.0,2190.0
APC BE600M1,74.98,330.0,600.0
CyberPower CP550SLG,69.95,330.0,550.0
CyberPower PR2200LCD,1029.95,1980.0,2200.0
CyberPower PR3000LCD,1319.95,2700.0,3000.0
CyberPower CP1200AVR,152.95,720.0,1200.0
CyberPower CP1350PFCLCD,199.95,810.0,1350.0
APC Back-UPS Pro 1500VA for Gaming,275.0,900.0,1500.0
CyberPower CP1350AVRLCD,174.95,810.0,1350.0
CyberPower CP1300EPFCLCD,,780.0,1300.0
CyberPower OR2200LCDRT2U,604.95,1320.0,2000.0
CyberPower OR2200PFCRT2U,669.95,1320.0,2000.0
APC Back-UPS 1000,169.99,600.0,1000.0
HP AF461A,1314.71,4500.0,5000.0
APC BE850G2,124.99,450.0,850.0
CyberPower EC650LCD,87.95,390.0,650.0
APC Back-UPS Pro 1000S,174.85,600.0,1000.0
Tripp Lite SMART1500PSGLCD,281.29,900.0,1500.0
APC BE550G,92.76,330.0,550.0
APC BR1500GI,582.94,865.0,1500.0
APC SRT6KXLT,4806.38,6000.0,6000.0
Tripp Lite SMART1500LCDT,236.89,900.0,1500.0
CyberPower CP1000AVRLCD,159.94,600.0,1000.0
APC SUM3000RMXL2U,2494.8,2850.0,3000.0
CyberPower EC750G,98.95,450.0,750.0
CyberPower CP850PFCLCD,154.94,510.0,850.0
CyberPower OL10000RT3U,5820.0,9000.0,10000.0
APC SMT3000I,2198.0,2700.0,3000.0
Tripp Lite SMART1500LCD,318.1,900.0,1500.0
CyberPower CP350SLG,53.95,255.0,350.0
APC BK325I,94.99,210.0,325.0
APC SMT3000,2198.0,2700.0,3000.0
Tripp Lite AVRX750U,236.91,450.0,750.0
CyberPower CP900AVR,138.95,560.0,900.0
APC BE670M1,89.99,360.0,675.0
APC BN1080G,229.99,650.0,1080.0
APC SMX1500RMI2U,776.99,1200.0,1500.0
APC SRT8KRMXLI,,8000.0,8000.0
APC BE750G,,450.0,750.0
Tripp Lite SU1500XL,741.07,1200.0,1500.0
APC Back-UPS 850,149.99,510.0,850.0
CyberPower CP425SLG,80.31,255.0,425.0
APC Back-UPS 1350,189.99,810.0,1350.0
APC SMT1500US,,1000.0,1440.0
CyberPower CP750LCD,98.95,420.0,750.0
APC SMX3000RMHV2U,2879.97,2700.0,3000.0
Tripp Lite SMART3000RMXL2U,1629.0,2880.0,3000.0
Tripp Lite SMART2200SLT,987.52,1600.0,2200.0
CyberPower BRG1500AVRLCD,199.99,900.0,1500.0
HP AF450A,195.0,950.0,1400.0
APC SRT8KXLI,,8000.0,8000.0
CyberPower OL1500RTXL2U,1149.95,1350.0,1500.0
APC BE400-CP,236.0,240.0,400.0
APC BK650EI,169.99,400.0,650.0
APC SRT5KRMXLW-HW,6242.45,4500.0,5000.0
Tripp Lite SMT1500LCDT,250.99,900.0,1500.0
CyberPower CP850AVRLCD,149.95,510.0,850.0
APC BK500EI,145.99,300.0,500.0
Tripp Lite SMART2200VS,977.69,1600.0,2200.0
APC BR1200GI,,720.0,1200.0
APC SUA5000RMI5U,8475.0,4000.0,5000.0
CyberPower PR5000LCDRTXL5U,3093.95,4000.0,5000.0
APC SRT5KXLI,6356.0,4500.0,5000.0
Tripp Lite SU12000RT4U,,8400.0,12000.0
CyberPower AVRG900U,109.95,480.0,900.0
APC BE400-GR,139.69,240.0,400.0
CyberPower CPS1500AVR,459.95,950.0,1500.0
APC SMT1500R2X122,999.99,1000.0,1500.0
APC SMT750I,514.55,500.0,750.0
APC SMX1500RMI2UNC,1935.0,1200.0,1500.0
APC SMX2000LV,1655.99,1800.0,1920.0
APC SURTA3000XL,3257.88,2100.0,3000.0
Tripp Lite SU1500XLCD,949.99,1350.0,1500.0
CyberPower OR1500LCDRT2U,495.95,900.0,1500.0
CyberPower GX1500U,222.99,900.0,1500.0
APC BR1300G,349.99,780.0,1300.0
APC SMC1000I,,600.0,1000.0
APC SMT2200US,2240.94,1980.0,2200.0
Tripp Lite SU2200XLCD,1400.48,1800.0,2200.0
APC SURTD3000XLI,,2100.0,3000.0
APC Back-UPS Pro 1350VA,197.99,810.0,1350.0
APC BE325-GR,,185.0,325.0
APC Back-UPS Pro 1350S,226.49,810.0,1350.0
APC BE650G1,87.36,390.0,650.0
APC BK350EI,189.99,210.0,350.0
APC BR500CI-AS,79.99,300.0,500.0
APC BE750BB,149.99,450.0,750.0
APC SMT1500I,885.99,980.0,1500.0
APC SRT6KRMXLT,4857.97,6000.0,6000.0
Tripp Lite INTERNET750U,108.72,450.0,750.0
APC SMT2200,1600.0,1980.0,2200.0
APC SMX3000HV,2661.21,2700.0,3000.0
APC SMX3000HVNC,3388.0,2700.0,3000.0
